id	isolate	country	continent	group	region	state	species	year	source	detailed_source	location	comments	date_entered	datestamp	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
1539	BP-22	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	3	3	1	3	5	4	4	4	533
1540	BP-15	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2015-01-29	137	3	16	4	3	4	4	4	534
1541	BP-2	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"49.0005999, -95.2332999"		2015-01-29	2022-02-23	8	2	5	93	2	8	1	84	225
2037	Bb16-87	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2017-10-16	2017-10-16	8	1	1	1	5	6	1	7	740
2038	Bb16-54	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2017-10-16	2017-10-16	244	2	1	2	1	16	4	2	741
2388	Bb16-10-2	Canada	North America	manitoba	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.1832, -96.8261"		2018-03-13	2018-03-13	8	1	1	1	4	16	1	7	32
2389	Bb16-15-2	Canada	North America	manitoba	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.1832, -96.8261"		2018-03-13	2018-03-13	7	6	12	1	2	5	5	5	46
2390	Bb16-16-1	Canada	North America	manitoba	Roseau	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.1832, -96.8261"		2018-03-13	2018-03-13	7	6	12	1	2	5	5	5	46
2391	Bb16-17-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	3	3	2	2	3	4	4	4	221
2392	Bb16-22-2	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	23	1	17	20	2	1	1	10	55
2393	Bb16-23-2	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	7	6	12	1	2	5	5	5	46
2394	Bb16-105	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	8	1	1	1	4	16	1	7	32
2395	Bb16-110	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	244	2	1	2	1	16	4	2	741
2396	Bb16-111	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	18	12	1	11	2	15	1	2	29
2397	Bb16-112	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	107	2	1	95	2	18	4	3	237
2436	Bb16-49	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	8	1	1	1	4	16	1	7	32
2437	Bb16-52	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	20	4	3	3	3	3	3	3	31
2438	Bb16-55-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	7	6	12	1	2	5	5	5	46
2439	Bb16-57-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	18	12	1	11	2	15	1	2	29
2440	Bb16-59-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	8	1	15	8	12	20	1	7	51
2441	Bb16-60-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	18	12	1	11	2	15	1	2	29
2442	Bb16-62	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	18	12	1	11	2	15	1	2	29
2443	Bb16-66	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	107	2	1	95	2	18	4	3	237
2444	Bb16-71-2	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	4	4	3	19	3	3	3	3	44
2445	Bb16-74-1	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	14	1	5	2	2	1	1	10	530
2446	Bb16-80	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	8	1	15	94	2	20	96	7	268
2447	Bb16-85	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	20	4	3	3	3	3	3	3	31
2448	Bb16-90-2	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	20	4	3	3	3	18	3	3	229
2449	Bb16-93	Canada	North America	manitoba	Buffalo Point	MB	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"49.0127, -95.2396"		2018-03-13	2018-03-13	155	5	4	1	5	197	1	12	641
872	NB06-101	Canada	North America	nb_pei_ns	Moncton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	8	1	1	1	4	6	1	7	4
873	NB06-127	Canada	North America	nb_pei_ns	Moncton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	9	1	1	7	1	6	1	10	14
874	NB06-129	Canada	North America	nb_pei_ns	Shediac	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
875	NB06-48	Canada	North America	nb_pei_ns	Sackville	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	6	1	5	1	1	7	1	8	7
876	NB06-5	Canada	North America	nb_pei_ns	Saint John	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
877	NB06-85	Canada	North America	nb_pei_ns	Dumfries	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	7	6	6	1	1	5	5	5	18
878	NB07-119	Canada	North America	nb_pei_ns	Saint John	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	1	1	1	1	6	1	7	3
879	NB07-121	Canada	North America	nb_pei_ns	Saint John	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	1	1	1	1	6	1	7	3
880	NB07-137	Canada	North America	nb_pei_ns	New Maryland	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	6	1	6	9
881	NB07-17	Canada	North America	nb_pei_ns	Lincoln	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	8	1	1	1	4	6	1	7	4
882	NB07-50	Canada	North America	nb_pei_ns	Fredricton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	15	1	6	36
883	NB07-87	Canada	North America	nb_pei_ns	Saint John	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	5	5	4	5	5	5	94	6	305
884	NB07-95	Canada	North America	nb_pei_ns	Albert Mines	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
911	ON06-107	Canada	North America	nb_pei_ns	Moncton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	9	1	1	7	1	6	1	10	14
957	ON07-361	Canada	North America	nb_pei_ns	Moncton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	8	1	1	1	4	6	1	7	4
996	PEI07-48	Canada	North America	nb_pei_ns	Moncton	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	15	1	6	36
998	PEI07-74	Canada	North America	nb_pei_ns	Charlottetown	NB	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	4	3	3	3	3	3	3	19
1897	M08-004	Canada	North America	nb_pei_ns	Millidgeville	New Brunswick	Borrelia burgdorferi sensu stricto	2008	tick	Ixodes scapularis	"45.3, -66.1"		2017-02-16	2017-02-16	1	1	1	1	1	6	1	7	645
885	NF06-4	Canada	North America	qc_nf	Humber Village	NF	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	4	3	3	3	3	3	3	19
3357	L06-CEM16	Canada	North America	nb_pei_ns	Lunenburg	Nova Scotia	Borrelia burgdorferi sensu stricto	2006	tick	"Ixodes scapularis, nymph"	"44.3834, -64.3154"	SAMN05290011	2022-03-24	2022-03-24	3	3	2	4	3	4	4	4	12
3358	L06-CEM22	Canada	North America	nb_pei_ns	Lunenburg	Nova Scotia	Borrelia burgdorferi sensu stricto	2006	tick	"Ixodes scapularis, nymph"	"44.3834, -64.3154"	SAMN05290012	2022-03-24	2022-03-24	3	3	2	4	3	4	4	4	12
3359	L06-ER21	Canada	North America	nb_pei_ns	Lunenburg	Nova Scotia	Borrelia burgdorferi sensu stricto	2006	tick	"Ixodes scapularis, nymph"	"44.3834, -64.3154"	SAMN05290013	2022-03-24	2022-03-24	4	1	1	1	1	6	1	7	3
3382	NS12-24	Canada	North America	nb_pei_ns	Birchtown	Nova Scotia	Borrelia burgdorferi sensu stricto	2012	tick	"Ixodes scapularis, adult"	"45.6334, -62.4319"	SAMN05290068	2022-03-24	2022-03-24	4	1	1	1	1	8	1	10	1018
3383	NS12-61	Canada	North America	nb_pei_ns	Birchtown	Nova Scotia	Borrelia burgdorferi sensu stricto	2012	tick	"Ixodes scapularis, adult"	"45.6334, -62.4319"	SAMN05290069	2022-03-24	2022-03-24	3	3	2	4	3	4	4	4	12
886	NS05-104	Canada	North America	nb_pei_ns	Terence Bay	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	5	5	4	5	5	6	1	6	306
887	NS06-10	Canada	North America	nb_pei_ns	Mahone Bay	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
888	NS06-100	Canada	North America	nb_pei_ns	Gavelton	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	6	1	6	9
889	NS06-113c	Canada	North America	nb_pei_ns	Seafoam	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	7	6	6	1	1	5	5	5	18
890	NS06-129	Canada	North America	nb_pei_ns	Antigonish	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
891	NS06-151	Canada	North America	nb_pei_ns	Hubley Woods	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	6	1	5	1	1	7	1	8	7
892	NS06-196a	Canada	North America	nb_pei_ns	Fall River	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	15	1	6	36
893	NS06-2	Canada	North America	nb_pei_ns	Western Shore (Lunenburg Co.)	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	2	2	1	2	2	2	2	2	16
894	NS06-233	Canada	North America	nb_pei_ns	Quinam	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	6	1	5	1	1	7	1	8	7
895	NS06-234	Canada	North America	nb_pei_ns	Metagen	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	9	1	1	7	1	1	1	10	307
896	NS06-235	Canada	North America	nb_pei_ns	Glace Bay	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
897	NS06-240c	Canada	North America	nb_pei_ns	Eagle Head	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
899	NS07-125	Canada	North America	nb_pei_ns	Shelburne	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	6	1	5	1	1	7	1	19	59
900	NS07-128	Canada	North America	nb_pei_ns	Sydney	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	21	1	15	8	1	18	4	7	38
901	NS07-166	Canada	North America	nb_pei_ns	Pomquet	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	1	1	1	1	6	1	7	3
902	NS07-279	Canada	North America	nb_pei_ns	Thorburn	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	15	1	6	36
903	NS07-28	Canada	North America	nb_pei_ns	Mahone Bay	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	91	1	1	1	6	1	7	308
904	NS07-290	Canada	North America	nb_pei_ns	Truro	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	6	1	5	1	1	7	1	8	7
905	NS07-2a	Canada	North America	nb_pei_ns	Dartmouth	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	4	1	1	1	1	6	1	7	3
906	NS07-68	Canada	North America	nb_pei_ns	Herman's Island Rd	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	10	5	4	6	1	6	1	6	9
907	NS07-75	Canada	North America	nb_pei_ns	Fall River	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	7	6	12	1	1	5	5	5	37
908	NS07-20	Canada	North America	nb_pei_ns	Halifax	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	7	6	12	115	1	114	5	5	309
909	NS07-96	Canada	North America	nb_pei_ns	Margaree	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	7	6	6	1	1	5	5	5	18
981	PEI06-20	Canada	North America	nb_pei_ns	Halifax	NS	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis			2015-01-29	2015-01-29	1	1	1	1	1	1	1	1	1
1542	L.37	Canada	North America	nb_pei_ns	Lunenburg	NS	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"44.5333333, -64.4991666"		2015-01-29	2015-01-29	9	1	1	6	1	4	1	7	535
1543	L.28	Canada	North America	nb_pei_ns	Lunenburg	NS	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"44.5333333, -64.4991666"		2015-01-29	2015-01-29	2	1	1	1	1	7	2	7	536
1544	BH.2.51	Canada	North America	nb_pei_ns	Lunenburg	NS	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"44.5333333, -64.4991666"		2015-01-29	2015-01-29	6	5	4	6	1	6	1	6	537
1545	L.38	Canada	North America	nb_pei_ns	Lunenburg	NS	Borrelia burgdorferi sensu stricto	2006	tick	Ixodes scapularis	"44.5333333, -64.4991666"		2015-01-29	2015-01-29	5	1	1	94	1	6	1	7	538
2409	Bb16-142	Canada	North America	nb_pei_ns	Shelburne County	NS	Borrelia burgdorferi sensu stricto	2016	tick	Ixodes scapularis	"43.7683, -65.3182"		2018-03-13	2018-03-13	4	1	1	1	1	6	1	7	3
